,Pupil Name,Date of Birth,School Birthday,Month of Birthday,Weekday of Birthday,BDs_per_WD_and_M
890,Delainey Rand,3/10/2012,2022-03-10,3,3,19
891,Alvy Fleis,10/28/2012,2022-10-28,10,4,27
892,Chrotoem Thominga,7/20/2014,2022-07-20,7,2,19
893,Ebeneser Gobel,5/10/2012,2022-05-10,5,1,15
894,Orelee Perillio,2/19/2014,2022-02-18,2,4,31
895,Carmelita Wiffen,9/11/2011,2022-09-09,9,4,41
896,Dion Grimestone,9/16/2011,2022-09-16,9,4,41
897,Terry Sloey,3/29/2013,2022-03-29,3,1,13
898,Reube Pallaske,8/4/2015,2022-08-04,8,3,10
899,Ossie Woodard,1/12/2012,2022-01-12,1,2,14
900,Olly Navarijo,9/8/2012,2022-09-08,9,3,14
901,Maybelle Shackesby,4/30/2015,2022-04-29,4,4,56
902,Seumas Plum,4/28/2013,2022-04-28,4,3,11
903,Burl Glassborow,7/31/2015,2022-07-29,7,4,49
904,Farra Laidler,3/29/2015,2022-03-29,3,1,13
905,Olwen Callicott,2/1/2013,2022-02-01,2,1,13
906,Zoe Djorvic,4/4/2013,2022-04-04,4,0,10
907,Tonye Faudrie,4/1/2012,2022-04-01,4,4,56
908,Jody Alvin,5/15/2013,2022-05-13,5,4,30
909,Brandie Feuell,5/10/2015,2022-05-10,5,1,15
910,Mic Stonard,7/12/2013,2022-07-12,7,1,12
911,Jilli Kevane,11/11/2011,2022-11-11,11,4,39
912,Jessie Fforde,6/5/2014,2022-06-03,6,4,30
913,Eleonora Manntschke,12/12/2014,2022-12-12,12,0,20
914,Westley Bergin,12/30/2012,2022-12-30,12,4,48
915,Thelma Carabine,6/14/2014,2022-06-14,6,1,11
916,Nannie Ferebee,3/11/2015,2022-03-11,3,4,31
917,Sib Klink,12/7/2014,2022-12-07,12,2,9
918,Keely Skellion,7/24/2015,2022-07-22,7,4,49
919,Erinna Rosthorn,6/14/2013,2022-06-14,6,1,11
920,Elvin Lewinton,9/10/2013,2022-09-09,9,4,41
921,Rosana Zoellner,5/19/2014,2022-05-19,5,3,12
922,Elaine Blackborough,7/31/2013,2022-07-29,7,4,49
923,Roddie Ovett,7/10/2013,2022-07-08,7,4,49
924,Ninnetta Galia,4/1/2013,2022-04-01,4,4,56
925,Casandra Norewood,11/24/2014,2022-11-24,11,3,13
926,Pen Haney`,12/25/2011,2022-12-23,12,4,48
927,Brigg Mendel,2/20/2015,2022-02-18,2,4,31
928,Susana Cookney,3/17/2012,2022-03-17,3,3,19
929,Codi Widger,7/4/2014,2022-07-04,7,0,11
930,Sonny Finlason,11/26/2014,2022-11-25,11,4,39
931,Felike Whardley,7/18/2014,2022-07-18,7,0,11
932,Aileen Overill,6/26/2012,2022-06-24,6,4,30
933,Rayna Hobble,1/2/2014,2021-12-31,12,4,48
934,Dela Corradeschi,10/4/2014,2022-10-04,10,1,9
935,Temple Arnald,11/15/2013,2022-11-15,11,1,12
936,Corey Garnsworthy,1/12/2012,2022-01-12,1,2,14
937,Lyssa Skotcher,3/3/2013,2022-03-03,3,3,19
938,Farra Congreave,6/20/2014,2022-06-20,6,0,9
939,Chanda Hartle,8/23/2014,2022-08-23,8,1,15
940,Emmott Pressman,11/2/2012,2022-11-02,11,2,17
941,Alvera Roussel,5/22/2013,2022-05-20,5,4,30
942,Korney Pennington,8/24/2013,2022-08-24,8,2,10
943,Travus Rousby,9/20/2011,2022-09-20,9,1,12
944,Wakefield Pleaden,2/21/2014,2022-02-21,2,0,12
945,Amy Pirrie,11/6/2013,2022-11-04,11,4,39
946,Barn Poyntz,6/22/2015,2022-06-22,6,2,15
947,Heindrick Okie,5/6/2014,2022-05-06,5,4,30
948,Gan Thulborn,12/18/2011,2022-12-16,12,4,48
949,Delphinia Wallach,6/12/2015,2022-06-10,6,4,30
950,Harlin Hallad,11/28/2012,2022-11-28,11,0,11
951,Ida Side,4/22/2015,2022-04-22,4,4,56
952,Lia Cavilla,4/6/2015,2022-04-06,4,2,12
953,Tammie Bevans,12/17/2012,2022-12-16,12,4,48
954,Towney Genny,10/26/2011,2022-10-26,10,2,13
955,Darsie Midson,7/10/2015,2022-07-08,7,4,49
956,Bobbee Timeby,10/12/2014,2022-10-12,10,2,13
957,Giacinta Pardal,5/28/2012,2022-05-27,5,4,30
958,Justinian McCrossan,1/25/2015,2022-01-25,1,1,12
959,Maxine Peizer,10/6/2013,2022-10-06,10,3,14
960,Claudell Oloshin,12/25/2011,2022-12-23,12,4,48
961,Risa Marc,7/31/2013,2022-07-29,7,4,49
962,Leontine Kowalski,12/31/2011,2022-12-30,12,4,48
963,Yasmin Lindsell,9/28/2012,2022-09-28,9,2,7
964,Carlyle Bestwick,8/8/2013,2022-08-08,8,0,12
965,Arnold Emps,6/22/2013,2022-06-22,6,2,15
966,Cassandry Trevaskus,1/5/2015,2022-01-05,1,2,14
967,Julianna Whitlock,2/25/2014,2022-02-25,2,4,31
968,Meryl Grzelewski,6/4/2012,2022-06-03,6,4,30
969,Louella Ketch,8/17/2015,2022-08-17,8,2,10
970,Meredith Dreng,9/12/2011,2022-09-12,9,0,7
971,Brana Bridgstock,1/4/2015,2022-01-04,1,1,12
972,Efrem Roswarne,10/21/2014,2022-10-21,10,4,27
973,Catrina Hannabuss,3/12/2012,2022-03-11,3,4,31
974,Ainslie Swansbury,10/3/2012,2022-10-03,10,0,14
975,Jerry Archard,3/9/2013,2022-03-09,3,2,6
976,Cly Chevis,12/19/2012,2022-12-19,12,0,20
977,Tarrance Alves,12/24/2013,2022-12-23,12,4,48
978,Geneva Bakesef,12/5/2014,2022-12-05,12,0,20
979,Rosaline Youel,3/19/2013,2022-03-18,3,4,31
980,Livvyy Cessford,6/23/2014,2022-06-23,6,3,12
981,Deirdre Maharey,7/17/2015,2022-07-15,7,4,49
982,Dyan Heckney,5/2/2014,2022-05-02,5,0,7
983,Alika Bunclark,11/9/2014,2022-11-09,11,2,17
984,Daryle Flewitt,9/11/2012,2022-09-09,9,4,41
985,Clovis Okeshott,2/1/2015,2022-02-01,2,1,13
986,Gratia Shory,4/2/2015,2022-04-01,4,4,56
987,Alane Beidebeke,11/22/2012,2022-11-22,11,1,12
988,Bridie Hembery,5/26/2013,2022-05-26,5,3,12
989,Hannis Loughran,2/2/2013,2022-02-02,2,2,8
990,Gwen Glowinski,3/4/2012,2022-03-04,3,4,31
991,Henrie Wrightson,12/1/2014,2022-12-01,12,3,20
992,Ludwig Raine,2/18/2014,2022-02-18,2,4,31
993,Hamel Pie,12/24/2013,2022-12-23,12,4,48
994,Tamma Sergison,6/19/2012,2022-06-17,6,4,30
995,Ninetta Worling,2/15/2015,2022-02-15,2,1,13
996,Stanford Tinton,4/9/2013,2022-04-08,4,4,56
997,Ertha MacCook,12/14/2013,2022-12-14,12,2,9
998,Lawton Randles,12/12/2011,2022-12-12,12,0,20
999,Engracia Pashbee,9/23/2013,2022-09-23,9,4,41
